run,condition,SNR_target,acc_clean,acc_noisy,acc_unet,unet_recovery,snr_in,snr_out_unet,unet_snr_improve
5,gaussian,-5,87.5,8.5,22.5,14.0,-4.9246716,-2.6113524,2.3133192
5,gaussian,-10,87.5,2.25,11.5,9.25,-9.687845,-6.6999536,2.9878917
5,gaussian,-15,87.5,2.0,2.25,0.25,-13.96915,-10.180645,3.7885046
5,gaussian,-20,87.5,2.0,2.25,0.25,-17.448736,-12.933732,4.515004
5,white,20,87.5,86.25,87.5,1.25,19.990864,19.63105,-0.3598137
5,white,15,87.5,80.25,84.5,4.25,15.000683,15.675563,0.67488
5,white,10,87.5,68.75,76.25,7.5,10.004574,11.229713,1.2251396
5,white,5,87.5,53.25,61.0,7.75,5.007266,6.524373,1.517107
5,white,0,87.5,28.999999999999996,39.5,10.500000000000004,0.012370932,1.834179,1.8218081
5,white,-5,87.5,8.5,23.75,15.25,-4.9625607,-2.6321259,2.3304348
5,white,-10,87.5,2.0,11.75,9.75,-9.824924,-6.8409486,2.983976
5,white,-15,87.5,2.0,2.75,0.75,-14.273428,-10.451641,3.8217869
5,white,-20,87.5,2.0,2.0,0.0,-17.85929,-13.291138,4.5681515
